"","airline","hour","Date","X","Sentiment","word1","freq1","word2","freq2","word3","freq3","DEP_DELAY","DEP_DELAY_GROUP","ARR_DELAY","DISTANCE","AIR_TIME","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"77","AA",1,2016-06-13,369,0.447560976,"hear",4,"please",4,"thank",4,157.8888889,8.888888889,150.4444444,1067.444444,141,6,13,1
"78","AA",1,2016-06-14,370,0.319736842,"get",5,"please",5,"thanks",4,39.25,2.25,20.5,1823.5,213.75,6,14,2
"79","AA",1,2016-06-15,371,0.573529412,"thanks",6,"bag",5,"please",4,24.8,1.4,6.2,1682.8,192.8,6,15,3
"80","AA",1,2016-06-16,372,0.155434783,"sorry",6,"delay",3,"ive",3,134.5,6.25,137.25,1557.25,195.75,6,16,4
"81","AA",1,2016-06-17,373,0.195967742,"get",10,"please",7,"morning",6,32.75,1.75,29.75,1763.5,205.5,6,17,5
"82","AA",1,2016-06-18,374,0.517647059,"get",6,"sorry",6,"need",4,33.33333333,2,17,1663.666667,193.6666667,6,18,6
"83","AA",1,2016-06-19,375,0.157317073,"air",2,"agents",1,"arrived",1,83.33333333,5,80.66666667,1918,235,6,19,7
"84","AA",1,2016-06-21,377,0.035185185,"com",9,"davyjonesrj",9,"gostei",9,78,4.75,61.75,2196,254.75,6,21,2
"85","AA",1,2016-06-22,378,0.156451613,"know",3,"thanks",3,"app",2,74.6,4.4,70,1643.6,197.2,6,22,3
"86","AA",1,2016-06-23,379,0.004878049,"sorry",6,"just",5,"sea",5,173.2,6.4,202.5,1388.6,153.5,6,23,4
"87","AA",1,2016-06-24,380,0.162941176,"please",11,"gate",6,"like",6,111.6,5.6,110.8,1616,195.8,6,24,5
"88","AA",1,2016-06-25,381,-0.038666667,"just",8,"like",6,"thanks",5,52,3,40.66666667,1735.333333,206.6666667,6,25,6
"89","AA",1,2016-06-26,382,0.111392405,"get",12,"please",10,"bags",9,60,3.333333333,55.66666667,1282.333333,165.3333333,6,26,7
"90","AA",1,2016-06-27,383,-0.035365854,"delayed",6,"bag",5,"bags",5,135.8,8.2,130.4,883.8,114,6,27,1
"91","AA",1,2016-06-28,384,-0.083018868,"airlines",1,"american",1,"carrier",1,109.25,5,99.5,1453,176.25,6,28,2
"92","AA",1,2016-06-29,385,0.1,"happy",4,"know",4,"please",4,17.66666667,0.666666667,12,1777.666667,212.6666667,6,29,3
"93","AA",1,2016-07-01,393,0.291666667,"britishairways",2,"baggage",1,"care",1,161.7142857,6.214285714,159.7857143,1602.428571,198.0714286,7,1,5
"94","AA",1,2016-07-02,404,0.176666667,"call",3,"home",3,"soon",3,39.66666667,2,36,1773.666667,210.6666667,7,2,6
"95","AA",1,2016-07-04,415,0.424,"added",1,"allowed",1,"apology",1,94.5,5.5,85,1306,163.5,7,4,1
"96","AA",1,2016-07-07,416,-0.088235294,"security",3,"business",2,"called",2,34.75,1.75,21.25,1930.75,224.75,7,7,4
"97","AA",1,2016-07-08,417,0.436792453,"get",7,"want",7,"seats",5,74.5,4.5,80,2109.5,272.5,7,8,5
"98","AA",1,2016-07-11,395,0.321551724,"get",5,"thanks",5,"line",4,50.4,2.8,45.8,1858.4,215.8,7,11,1
"99","AA",1,2016-07-12,396,0.44125,"team",6,"like",5,"speak",4,33,1.75,20.5,1986,229,7,12,2
"100","AA",1,2016-07-13,397,0.515789474,"apologies",2,"based",2,"check",2,122,4.285714286,113.8571429,1484.285714,179,7,13,3
"101","AA",1,2016-07-14,398,0.225862069,"please",7,"know",6,"sorry",6,26.5,1.25,13.5,1861.5,224.25,7,14,4
"102","AA",1,2016-07-15,399,0.328205128,"thanks",6,"today",5,"details",4,113.6,5.4,106,1140.6,140.8,7,15,5
